train_loss,train_rmsd,val_loss,val_rmsd
3.290951013565063477e+00,2.929354190826416016e+00,1.440010190010070801e+00,1.826287508010864258e+00
3.241136550903320312e+00,2.988594532012939453e+00,1.801243543624877930e+00,2.063472747802734375e+00
3.762632369995117188e+00,2.973542690277099609e+00,1.653950214385986328e+00,2.119479417800903320e+00
3.005476713180541992e+00,2.807786226272583008e+00,1.859269857406616211e+00,2.196028232574462891e+00
3.006557464599609375e+00,2.979178667068481445e+00,1.897141575813293457e+00,2.210578918457031250e+00
7.016655921936035156e+00,4.312794208526611328e+00,2.078199863433837891e+00,2.325717687606811523e+00
1.586478710174560547e+00,1.696990489959716797e+00,2.074689149856567383e+00,2.362891435623168945e+00
5.400811195373535156e+00,3.913872480392456055e+00,1.713667154312133789e+00,2.115377426147460938e+00
2.459875583648681641e+00,2.652365922927856445e+00,1.512153148651123047e+00,1.867220163345336914e+00
3.517138719558715820e+00,3.241067409515380859e+00,1.936900019645690918e+00,2.209118843078613281e+00
2.308412790298461914e+00,2.552726745605468750e+00,1.855187773704528809e+00,2.232895135879516602e+00
3.054275751113891602e+00,2.973872661590576172e+00,1.693363189697265625e+00,2.061118125915527344e+00
2.165449619293212891e+00,2.485436916351318359e+00,1.542119622230529785e+00,2.049699306488037109e+00
2.415661573410034180e+00,2.472293138504028320e+00,1.453660607337951660e+00,1.927063107490539551e+00
4.078880786895751953e+00,3.489600181579589844e+00,1.898649692535400391e+00,2.284103870391845703e+00
3.272053718566894531e+00,2.965507268905639648e+00,1.636966109275817871e+00,2.097396850585937500e+00
4.403103351593017578e+00,3.433945655822753906e+00,1.470878243446350098e+00,1.878684997558593750e+00
2.086815118789672852e+00,2.353558301925659180e+00,1.332638144493103027e+00,1.827458143234252930e+00
3.499413967132568359e+00,3.225846529006958008e+00,1.396092414855957031e+00,1.844822645187377930e+00
1.714692354202270508e+00,1.920340776443481445e+00,1.430309653282165527e+00,1.905884027481079102e+00
3.329010009765625000e+00,3.053371906280517578e+00,1.648969769477844238e+00,2.091576337814331055e+00
1.883477449417114258e+00,2.170773506164550781e+00,1.360633969306945801e+00,1.855708837509155273e+00
2.587007284164428711e+00,2.577820777893066406e+00,1.346896052360534668e+00,1.823901772499084473e+00
2.363293886184692383e+00,2.551286697387695312e+00,1.339656233787536621e+00,1.756148576736450195e+00
2.155025482177734375e+00,2.374166965484619141e+00,1.398245811462402344e+00,1.837472438812255859e+00
